Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2013-12-30,2952,329.35,333.7,329.0,329.65,3257600,323.537,328.15,337.617,318.6215,0.227910069189,-2.01537250008,-2.98554359672,0.970171096642,157530000,63.6654638963,49.597949892,10.9416087576,-33.1491712707,0.00136695018226,-0.00257302860602
2013-12-31,2953,329.5,333.3,326.05,330.25,2108100,324.126,328.1125,337.179,318.78825,0.211858738344,-1.67277378781,-2.72298963494,1.05021584713,159638100,64.7313236344,50.2764682937,10.2877971435,-15.5405405405,0.00182011224025,0.00113808801214
2014-01-01,2954,331.0,339.0,330.2,337.75,1697600,331.487,328.3875,336.977,318.9925,0.497289930433,-0.787002445852,-2.33579219712,1.54878975127,161335700,72.2037347202,57.9049655491,10.2516153029,-4.54545454545,0.0227100681302,0.0136415308829
2014-01-02,2955,338.0,339.0,326.5,328.7,4755400,322.605,328.055,336.558,319.17725,-0.179364734526,-0.805990682829,-2.02983189426,1.22384121143,156580300,61.3300115274,48.2796839475,9.64082164629,-37.4545454545,-0.0267949666913,-0.00306542056075
2014-01-03,2956,328.0,331.9,324.05,329.35,4237100,323.243,327.9025,336.275,319.36525,-0.133881263256,-0.759830575813,-1.77583163057,1.01600105476,160817400,61.4384186106,48.9362222064,9.19301139726,-38.8329979879,0.00197748707028,-0.0140242987851
2014-01-06,2957,328.5,330.65,325.75,329.35,2437800,323.243,327.5525,336.074,319.54375,-0.128289150115,-0.715006211903,-1.56366654684,0.848660334936,160817400,59.8144781491,48.9362222064,8.77718759459,-47.3039215686,0.0,0.000760629801476
2014-01-07,2958,330.5,334.5,326.5,331.7,3704600,325.549,327.375,335.884,319.74325,0.0246289506327,-0.484274801865,-1.34778819784,0.863513395979,164522000,59.9477062966,51.5167834254,8.52461700866,-35.7843137255,0.00713526643388,0.00661244964658
2014-01-08,2959,333.0,334.0,327.7,332.4,5683300,326.236,327.59,335.332,320.00125,0.358297090075,-0.242143072613,-1.1266591728,0.884516100185,170205300,69.3671140356,52.2902178874,8.29008717887,-34.6456692913,0.00211034066928,0.0048323769254
2014-01-09,2960,332.4,333.0,327.25,329.6,3362000,323.488,327.89,334.582,320.28125,-0.168702529066,-0.273041084479,-0.955935555134,0.682894470655,166843300,61.7018471646,48.9279393079,7.98835597828,-62.4584717608,-0.00842358604091,-0.00510970844605
2014-01-10,2961,327.0,333.15,327.0,330.55,3413800,324.421,328.375,333.849,320.58275,-0.0360661969011,-0.21835387344,-0.808419218795,0.590065345355,170257100,62.3282203593,50.1003004896,7.65883904209,-56.146179402,0.0028822815534,-0.00672205438066
2014-01-13,2962,330.0,333.8,329.05,331.0,2302900,324.862,329.2575,333.125,320.83475,-0.0130321508682,-0.137121968798,-0.674159768796,0.537037799998,172560000,67.597371382,50.67785581,7.47878716735,-53.1561461794,0.00136136741794,0.00524674929663
2014-01-14,2963,331.0,332.0,326.0,327.95,2230200,321.869,329.2875,332.492,321.0895,-0.396543292767,-0.315220938451,-0.602372002727,0.287151064276,170329800,64.3927729847,46.7299818423,7.21154140715,-73.4219269103,-0.00921450151057,-0.00310136157337
2014-01-15,2964,329.9,333.2,329.2,331.5,2524200,325.353,329.475,332.01,321.33875,0.275462820221,-0.167974023638,-0.515492406909,0.347518383271,172854000,62.3518357981,51.4688917691,6.70750171555,-50.1672240803,0.0108248208568,0.00371803626982
2014-01-16,2965,332.95,332.95,313.55,315.55,9471200,309.699,329.075,331.356,321.5405,-0.489487665753,-1.32306007017,-0.677005939561,-0.646054130607,163382800,49.2320989945,35.9811607743,8.56873854917,-92.141453831,-0.0481146304676,-0.0195040822498
2014-01-17,2966,316.0,318.55,306.25,310.9,5862200,305.135,328.225,330.694,321.7275,-0.366707257615,-2.58390457876,-1.0583856674,-1.52551891136,157520600,40.9986239144,32.8752498864,10.9739022494,-85.8015267176,-0.0147361749327,-0.0333076329992
